主索节点1,X坐标（米）,Y坐标（米）,Z坐标（米）,主索节点1,X坐标（米）,Y坐标（米）,Z坐标（米）,主索节点3,X坐标（米）,Y坐标（米）,Z坐标（米）
E108,-137.1921,-23.488,-266.2082,E109,-134.6015,-12.162,-268.2809,E124,-143.4227,-15.02,-263.5232
E108,-137.1921,-23.488,-266.2082,E123,-145.9079,-26.327,-261.2621,E124,-143.4227,-15.02,-263.5232
E109,-134.6015,-12.162,-268.2809,E110,-131.763,-0.725,-269.9596,E125,-140.7163,-3.689,-265.378
E109,-134.6015,-12.162,-268.2809,E124,-143.4227,-15.02,-263.5232,E125,-140.7163,-3.689,-265.378
E110,-131.763,-0.725,-269.9596,E111,-128.736,10.612,-271.2095,E126,-137.793,7.647,-266.8235
E110,-131.763,-0.725,-269.9596,E125,-140.7163,-3.689,-265.378,E126,-137.793,7.647,-266.8235
E111,-128.736,10.612,-271.2095,E112,-125.4923,21.949,-272.048,E127,-134.6571,18.971,-267.8577
E111,-128.736,10.612,-271.2095,E126,-137.793,7.647,-266.8235,E127,-134.6571,18.971,-267.8577
E112,-125.4923,21.949,-272.048,E113,-122.049,33.229,-272.4704,E128,-131.3137,30.266,-268.4788
E112,-125.4923,21.949,-272.048,E127,-134.6571,18.971,-267.8577,E128,-131.3137,30.266,-268.4788
E113,-122.049,33.229,-272.4704,E114,-118.2708,44.857,-272.4704,E129,-127.7678,41.515,-268.6859
E113,-122.049,33.229,-272.4704,E128,-131.3137,30.266,-268.4788,E129,-127.7678,41.515,-268.6859
E114,-118.2708,44.857,-272.4704,E115,-114.4264,56.006,-272.048,E130,-124.0248,52.699,-268.4788
E114,-118.2708,44.857,-272.4704,E129,-127.7678,41.515,-268.6859,E130,-124.0248,52.699,-268.4788
E115,-114.4264,56.006,-272.048,E116,-110.387,67.084,-271.2095,E131,-120.0906,63.802,-267.8577
E115,-114.4264,56.006,-272.048,E130,-124.0248,52.699,-268.4788,E131,-120.0906,63.802,-267.8577
E116,-110.387,67.084,-271.2095,E117,-106.1719,78.036,-269.9596,E132,-115.9713,74.807,-266.8235
E116,-110.387,67.084,-271.2095,E131,-120.0906,63.802,-267.8577,E132,-115.9713,74.807,-266.8235
E117,-106.1719,78.036,-269.9596,E118,-101.7458,88.957,-268.2809,E133,-111.6731,85.696,-265.378
E117,-106.1719,78.036,-269.9596,E132,-115.9713,74.807,-266.8235,E133,-111.6731,85.696,-265.378
E118,-101.7458,88.957,-268.2809,E119,-97.1849,99.642,-266.2082,E134,-107.2028,96.454,-263.5232
E118,-101.7458,88.957,-268.2809,E133,-111.6731,85.696,-265.378,E134,-107.2028,96.454,-263.5232
E119,-97.1849,99.642,-266.2082,E120,-92.4548,110.188,-263.7254,E135,-102.5671,107.062,-261.2621
E119,-97.1849,99.642,-266.2082,E134,-107.2028,96.454,-263.5232,E135,-102.5671,107.062,-261.2621
E120,-92.4548,110.188,-263.7254,A106,-87.5775,120.541,-260.8456,E136,-97.7733,117.506,-258.5982
E120,-92.4548,110.188,-263.7254,E135,-102.5671,107.062,-261.2621,E136,-97.7733,117.506,-258.5982
A106,-87.5775,120.541,-260.8456,A122,-81.5407,129.299,-258.5982,A121,-92.8287,127.768,-255.5355
A106,-87.5775,120.541,-260.8456,E136,-97.7733,117.506,-258.5982,A121,-92.8287,127.768,-255.5355
A122,-81.5407,129.299,-258.5982,A123,-70.127,130.631,-261.2621,A139,-76.3875,139.277,-254.9648
A122,-81.5407,129.299,-258.5982,A121,-92.8287,127.768,-255.5355,A138,-87.741,137.833,-252.0788
A122,-81.5407,129.299,-258.5982,A138,-87.741,137.833,-252.0788,A139,-76.3875,139.277,-254.9648
A123,-70.127,130.631,-261.2621,A124,-58.6051,131.762,-263.5232,A140,-64.8875,140.525,-257.4542
A123,-70.127,130.631,-261.2621,A139,-76.3875,139.277,-254.9648,A140,-64.8875,140.525,-257.4542
A124,-58.6051,131.762,-263.5232,A125,-46.9929,132.689,-265.378,A141,-53.3154,141.565,-259.5326
A124,-58.6051,131.762,-263.5232,A140,-64.8875,140.525,-257.4542,A141,-53.3154,141.565,-259.5326
A125,-46.9929,132.689,-265.378,A126,-35.3082,133.412,-266.8235,A142,-41.5164,142.415,-261.2175
A125,-46.9929,132.689,-265.378,A141,-53.3154,141.565,-259.5326,A142,-41.5164,142.415,-261.2175
A126,-35.3082,133.412,-266.8235,A127,-23.5691,133.929,-267.8577,A143,-29.7967,143.043,-262.4713
A126,-35.3082,133.412,-266.8235,A142,-41.5164,142.415,-261.2175,A143,-29.7967,143.043,-262.4713
A127,-23.5691,133.929,-267.8577,A128,-11.7936,134.24,-268.4788,A144,-18.0019,143.465,-263.3133
A127,-23.5691,133.929,-267.8577,A143,-29.7967,143.043,-262.4713,A144,-18.0019,143.465,-263.3133
A128,-11.7936,134.24,-268.4788,A129,0,134.343,-268.6859,A145,-6.2083,143.679,-263.7388
A128,-11.7936,134.24,-268.4788,A144,-18.0019,143.465,-263.3133,A145,-6.2083,143.679,-263.7388
A129,0,134.343,-268.6859,A130,11.7936,134.24,-268.4788,A146,6.2083,143.679,-263.7389
A129,0,134.343,-268.6859,A145,-6.2083,143.679,-263.7388,A146,6.2083,143.679,-263.7389
A130,11.7936,134.24,-268.4788,A131,23.5691,133.929,-267.8577,A147,18.0019,143.465,-263.3133
A130,11.7936,134.24,-268.4788,A146,6.2083,143.679,-263.7389,A147,18.0019,143.465,-263.3133
A131,23.5691,133.929,-267.8577,A132,35.3082,133.412,-266.8235,A148,29.7967,143.043,-262.4713
A131,23.5691,133.929,-267.8577,A147,18.0019,143.465,-263.3133,A148,29.7967,143.043,-262.4713
A132,35.3082,133.412,-266.8235,A133,46.9929,132.689,-265.378,A149,41.5164,142.415,-261.2175
A132,35.3082,133.412,-266.8235,A148,29.7967,143.043,-262.4713,A149,41.5164,142.415,-261.2175
A133,46.9929,132.689,-265.378,A134,58.6051,131.762,-263.5232,A150,53.3154,141.565,-259.5326
A133,46.9929,132.689,-265.378,A149,41.5164,142.415,-261.2175,A150,53.3154,141.565,-259.5326
A134,58.6051,131.762,-263.5232,A135,70.127,130.631,-261.2621,A151,64.8875,140.525,-257.4542
A134,58.6051,131.762,-263.5232,A150,53.3154,141.565,-259.5326,A151,64.8875,140.525,-257.4542
A135,70.127,130.631,-261.2621,A136,81.5407,129.299,-258.5982,A152,76.3875,139.277,-254.9648
A135,70.127,130.631,-261.2621,A151,64.8875,140.525,-257.4542,A152,76.3875,139.277,-254.9648
A136,81.5407,129.299,-258.5982,B121,92.8287,127.768,-255.5355,A153,87.741,137.833,-252.0788
A136,81.5407,129.299,-258.5982,A152,76.3875,139.277,-254.9648,A153,87.741,137.833,-252.0788
B121,92.8287,127.768,-255.5355,B122,97.7733,117.506,-258.5982,B138,103.9736,126.04,-252.0788
B121,92.8287,127.768,-255.5355,A153,87.741,137.833,-252.0788,B137,97.9688,134.843,-249.9196
B121,92.8287,127.768,-255.5355,B137,97.9688,134.843,-249.9196,B138,103.9736,126.04,-252.0788
B122,97.7733,117.506,-258.5982,B123,102.5671,107.062,-261.2621,B139,108.8552,115.688,-254.9648
B122,97.7733,117.506,-258.5982,B138,103.9736,126.04,-252.0788,B139,108.8552,115.688,-254.9648
B123,102.5671,107.062,-261.2621,B124,107.2028,96.454,-263.5232,B140,113.5953,105.137,-257.4542
B123,102.5671,107.062,-261.2621,B139,108.8552,115.688,-254.9648,B140,113.5953,105.137,-257.4542
B124,107.2028,96.454,-263.5232,B125,111.6731,85.696,-265.378,B141,118.1604,94.452,-259.5326
B124,107.2028,96.454,-263.5232,B140,113.5953,105.137,-257.4542,B141,118.1604,94.452,-259.5326
B125,111.6731,85.696,-265.378,B126,115.9713,74.807,-266.8235,B142,122.6154,83.493,-261.2175
B125,111.6731,85.696,-265.378,B141,118.1604,94.452,-259.5326,B142,122.6154,83.493,-261.2175
B126,115.9713,74.807,-266.8235,B127,120.0906,63.802,-267.8577,B143,126.8337,72.541,-262.4713
B126,115.9713,74.807,-266.8235,B142,122.6154,83.493,-261.2175,B143,126.8337,72.541,-262.4713
B127,120.0906,63.802,-267.8577,B128,124.0248,52.699,-268.4788,B144,130.8804,61.454,-263.3133
B127,120.0906,63.802,-267.8577,B143,126.8337,72.541,-262.4713,B144,130.8804,61.454,-263.3133
B128,124.0248,52.699,-268.4788,B129,127.7678,41.515,-268.6859,B145,134.7277,50.304,-263.7388
B128,124.0248,52.699,-268.4788,B144,130.8804,61.454,-263.3133,B145,134.7277,50.304,-263.7388
B129,127.7678,41.515,-268.6859,B130,131.3137,30.266,-268.4788,B146,138.5647,38.495,-263.7389
B129,127.7678,41.515,-268.6859,B145,134.7277,50.304,-263.7388,B146,138.5647,38.495,-263.7389
B130,131.3137,30.266,-268.4788,B131,134.6572,18.971,-267.8577,B147,142.0063,27.213,-263.3133
B130,131.3137,30.266,-268.4788,B146,138.5647,38.495,-263.7389,B147,142.0063,27.213,-263.3133
B131,134.6572,18.971,-267.8577,B132,137.793,7.647,-266.8235,B148,145.2491,15.865,-262.4713
B131,134.6572,18.971,-267.8577,B147,142.0063,27.213,-263.3133,B148,145.2491,15.865,-262.4713
B132,137.793,7.647,-266.8235,B133,140.7163,-3.689,-265.378,B149,148.2739,4.525,-261.2175
B132,137.793,7.647,-266.8235,B148,145.2491,15.865,-262.4713,B149,148.2739,4.525,-261.2175
B133,140.7163,-3.689,-265.378,B134,143.4227,-15.02,-263.5232,B150,151.1111,-6.96,-259.5326
B133,140.7163,-3.689,-265.378,B149,148.2739,4.525,-261.2175,B150,151.1111,-6.96,-259.5326
B134,143.4227,-15.02,-263.5232,B135,145.9079,-26.327,-261.2621,B151,153.698,-18.287,-257.4542
B134,143.4227,-15.02,-263.5232,B150,151.1111,-6.96,-259.5326,B151,153.698,-18.287,-257.4542
B135,145.9079,-26.327,-261.2621,B136,148.1682,-37.594,-258.5982,B152,156.0653,-29.609,-254.9648
B135,145.9079,-26.327,-261.2621,B151,153.698,-18.287,-257.4542,B152,156.0653,-29.609,-254.9648
B136,148.1682,-37.594,-258.5982,C121,150.2,-48.803,-255.5355,B153,158.2005,-40.853,-252.0788
B136,148.1682,-37.594,-258.5982,B152,156.0653,-29.609,-254.9648,B153,158.2005,-40.853,-252.0788
C121,150.2,-48.803,-255.5355,C122,141.9679,-56.676,-258.5982,C138,152.0002,-59.936,-252.0788
C121,150.2,-48.803,-255.5355,B153,158.2005,-40.853,-252.0788,C137,158.5168,-51.505,-249.9196
C121,150.2,-48.803,-255.5355,C137,158.5168,-51.505,-249.9196,C138,152.0002,-59.936,-252.0788
C122,141.9679,-56.676,-258.5982,C123,133.5169,-64.463,-261.2621,C139,143.6637,-67.778,-254.9648
C122,141.9679,-56.676,-258.5982,C138,152.0002,-59.936,-252.0788,C139,143.6637,-67.778,-254.9648
C123,133.5169,-64.463,-261.2621,C124,124.8601,-72.15,-263.5232,C140,135.0933,-75.546,-257.4542
C123,133.5169,-64.463,-261.2621,C139,143.6637,-67.778,-254.9648,C140,135.0933,-75.546,-257.4542
C124,124.8601,-72.15,-263.5232,C125,116.0107,-79.725,-265.378,C141,126.3425,-83.19,-259.5326
C124,124.8601,-72.15,-263.5232,C140,135.0933,-75.546,-257.4542,C141,126.3425,-83.19,-259.5326
C125,116.0107,-79.725,-265.378,C126,106.9824,-87.178,-266.8235,C142,117.2968,-90.813,-261.2175
C125,116.0107,-79.725,-265.378,C141,126.3425,-83.19,-259.5326,C142,117.2968,-90.813,-261.2175
C126,106.9824,-87.178,-266.8235,C127,97.7892,-94.497,-267.8577,C143,108.1843,-98.209,-262.4713
C126,106.9824,-87.178,-266.8235,C142,117.2968,-90.813,-261.2175,C143,108.1843,-98.209,-262.4713
C127,97.7892,-94.497,-267.8577,C128,88.4452,-101.669,-268.4788,C144,98.8905,-105.484,-263.3133
C127,97.7892,-94.497,-267.8577,C143,108.1843,-98.209,-262.4713,C144,98.8905,-105.484,-263.3133
C128,88.4452,-101.669,-268.4788,C129,78.9648,-108.685,-268.6859,C145,89.4746,-112.589,-263.7388
C128,88.4452,-101.669,-268.4788,C144,98.8905,-105.484,-263.3133,C145,89.4746,-112.589,-263.7388
C129,78.9648,-108.685,-268.6859,C130,69.3627,-115.534,-268.4788,C146,79.4294,-119.887,-263.7389
C129,78.9648,-108.685,-268.6859,C145,89.4746,-112.589,-263.7388,C146,79.4294,-119.887,-263.7389
C130,69.3627,-115.534,-268.4788,C131,59.6536,-122.204,-267.8577,C147,69.7628,-126.647,-263.3133
C130,69.3627,-115.534,-268.4788,C146,79.4294,-119.887,-263.7389,C147,69.7628,-126.647,-263.3133
C131,59.6536,-122.204,-267.8577,C132,49.8525,-128.686,-266.8235,C148,59.9722,-133.237,-262.4713
C131,59.6536,-122.204,-267.8577,C147,69.7628,-126.647,-263.3133,C148,59.9722,-133.237,-262.4713
C132,49.8525,-128.686,-266.8235,C133,39.9746,-134.969,-265.378,C149,50.1219,-139.618,-261.2175
C132,49.8525,-128.686,-266.8235,C148,59.9722,-133.237,-262.4713,C149,50.1219,-139.618,-261.2175
C133,39.9746,-134.969,-265.378,C134,30.035,-141.044,-263.5232,C150,40.0765,-145.866,-259.5326
C133,39.9746,-134.969,-265.378,C149,50.1219,-139.618,-261.2175,C150,40.0765,-145.866,-259.5326
C134,30.035,-141.044,-263.5232,C135,20.0491,-146.902,-261.2621,C151,30.1031,-151.826,-257.4542
C134,30.035,-141.044,-263.5232,C150,40.0765,-145.866,-259.5326,C151,30.1031,-151.826,-257.4542
C135,20.0491,-146.902,-261.2621,C136,10.0323,-152.533,-258.5982,C152,20.0662,-157.576,-254.9648
C135,20.0491,-146.902,-261.2621,C151,30.1031,-151.826,-257.4542,C152,20.0662,-157.576,-254.9648
C136,10.0323,-152.533,-258.5982,D121,0,-157.929,-255.5355,C153,10.0323,-163.082,-252.0788
C136,10.0323,-152.533,-258.5982,C152,20.0662,-157.576,-254.9648,C153,10.0323,-163.082,-252.0788
D121,0,-157.929,-255.5355,D122,-10.0323,-152.533,-258.5982,D138,-10.0323,-163.082,-252.0788
D121,0,-157.929,-255.5355,C153,10.0323,-163.082,-252.0788,D137,0,-166.674,-249.9196
D121,0,-157.929,-255.5355,D137,0,-166.674,-249.9196,D138,-10.0323,-163.082,-252.0788
D122,-10.0323,-152.533,-258.5982,D123,-20.0491,-146.902,-261.2621,D139,-20.0662,-157.576,-254.9648
D122,-10.0323,-152.533,-258.5982,D138,-10.0323,-163.082,-252.0788,D139,-20.0662,-157.576,-254.9648
D123,-20.0491,-146.902,-261.2621,D124,-30.035,-141.044,-263.5232,D140,-30.1031,-151.826,-257.4542
D123,-20.0491,-146.902,-261.2621,D139,-20.0662,-157.576,-254.9648,D140,-30.1031,-151.826,-257.4542
D124,-30.035,-141.044,-263.5232,D125,-39.9746,-134.969,-265.378,D141,-40.0765,-145.866,-259.5326
D124,-30.035,-141.044,-263.5232,D140,-30.1031,-151.826,-257.4542,D141,-40.0765,-145.866,-259.5326
D125,-39.9746,-134.969,-265.378,D126,-49.8525,-128.686,-266.8235,D142,-50.1219,-139.618,-261.2175
D125,-39.9746,-134.969,-265.378,D141,-40.0765,-145.866,-259.5326,D142,-50.1219,-139.618,-261.2175
D126,-49.8525,-128.686,-266.8235,D127,-59.6536,-122.204,-267.8577,D143,-59.9722,-133.237,-262.4713
D126,-49.8525,-128.686,-266.8235,D142,-50.1219,-139.618,-261.2175,D143,-59.9722,-133.237,-262.4713
D127,-59.6536,-122.204,-267.8577,D128,-69.3627,-115.534,-268.4788,D144,-69.7628,-126.647,-263.3133
D127,-59.6536,-122.204,-267.8577,D143,-59.9722,-133.237,-262.4713,D144,-69.7628,-126.647,-263.3133
D128,-69.3627,-115.534,-268.4788,D129,-78.9648,-108.685,-268.6859,D145,-79.4294,-119.887,-263.7388
D128,-69.3627,-115.534,-268.4788,D144,-69.7628,-126.647,-263.3133,D145,-79.4294,-119.887,-263.7388
D129,-78.9648,-108.685,-268.6859,D130,-88.4452,-101.669,-268.4788,D146,-89.4746,-112.589,-263.7389
D129,-78.9648,-108.685,-268.6859,D145,-79.4294,-119.887,-263.7388,D146,-89.4746,-112.589,-263.7389
D130,-88.4452,-101.669,-268.4788,D131,-97.7892,-94.497,-267.8577,D147,-98.8905,-105.484,-263.3133
D130,-88.4452,-101.669,-268.4788,D146,-89.4746,-112.589,-263.7389,D147,-98.8905,-105.484,-263.3133
D131,-97.7892,-94.497,-267.8577,D132,-106.9824,-87.178,-266.8235,D148,-108.1843,-98.209,-262.4713
D131,-97.7892,-94.497,-267.8577,D147,-98.8905,-105.484,-263.3133,D148,-108.1843,-98.209,-262.4713
D132,-106.9824,-87.178,-266.8235,D133,-116.0107,-79.725,-265.378,D149,-117.2968,-90.813,-261.2175
D132,-106.9824,-87.178,-266.8235,D148,-108.1843,-98.209,-262.4713,D149,-117.2968,-90.813,-261.2175
D133,-116.0107,-79.725,-265.378,D134,-124.8601,-72.15,-263.5232,D150,-126.3425,-83.19,-259.5326
D133,-116.0107,-79.725,-265.378,D149,-117.2968,-90.813,-261.2175,D150,-126.3425,-83.19,-259.5326
D134,-124.8601,-72.15,-263.5232,D135,-133.5169,-64.463,-261.2621,D151,-135.0933,-75.546,-257.4542
D134,-124.8601,-72.15,-263.5232,D150,-126.3425,-83.19,-259.5326,D151,-135.0933,-75.546,-257.4542
D135,-133.5169,-64.463,-261.2621,D136,-141.9679,-56.676,-258.5982,D152,-143.6637,-67.778,-254.9648
D135,-133.5169,-64.463,-261.2621,D151,-135.0933,-75.546,-257.4542,D152,-143.6637,-67.778,-254.9648
D136,-141.9679,-56.676,-258.5982,E121,-150.2,-48.803,-255.5355,D153,-152.0002,-59.936,-252.0788
D136,-141.9679,-56.676,-258.5982,D152,-143.6637,-67.778,-254.9648,D153,-152.0002,-59.936,-252.0788
E121,-150.2,-48.803,-255.5355,E122,-148.1682,-37.594,-258.5982,E138,-158.2005,-40.853,-252.0788
E121,-150.2,-48.803,-255.5355,D153,-152.0002,-59.936,-252.0788,E137,-158.5168,-51.505,-249.9196
E121,-150.2,-48.803,-255.5355,E137,-158.5168,-51.505,-249.9196,E138,-158.2005,-40.853,-252.0788
E122,-148.1682,-37.594,-258.5982,E123,-145.9079,-26.327,-261.2621,E139,-156.0653,-29.609,-254.9648
E122,-148.1682,-37.594,-258.5982,E138,-158.2005,-40.853,-252.0788,E139,-156.0653,-29.609,-254.9648
E123,-145.9079,-26.327,-261.2621,E124,-143.4227,-15.02,-263.5232,E140,-153.698,-18.287,-257.4542
E123,-145.9079,-26.327,-261.2621,E139,-156.0653,-29.609,-254.9648,E140,-153.698,-18.287,-257.4542
E124,-143.4227,-15.02,-263.5232,E125,-140.7163,-3.689,-265.378,E141,-151.1111,-6.96,-259.5326
E124,-143.4227,-15.02,-263.5232,E140,-153.698,-18.287,-257.4542,E141,-151.1111,-6.96,-259.5326
E125,-140.7163,-3.689,-265.378,E126,-137.793,7.647,-266.8235,E142,-148.2739,4.525,-261.2175
E125,-140.7163,-3.689,-265.378,E141,-151.1111,-6.96,-259.5326,E142,-148.2739,4.525,-261.2175
E126,-137.793,7.647,-266.8235,E127,-134.6571,18.971,-267.8577,E143,-145.2491,15.865,-262.4713
E126,-137.793,7.647,-266.8235,E142,-148.2739,4.525,-261.2175,E143,-145.2491,15.865,-262.4713
E127,-134.6571,18.971,-267.8577,E128,-131.3137,30.266,-268.4788,E144,-142.0063,27.213,-263.3133
E127,-134.6571,18.971,-267.8577,E143,-145.2491,15.865,-262.4713,E144,-142.0063,27.213,-263.3133
E128,-131.3137,30.266,-268.4788,E129,-127.7678,41.515,-268.6859,E145,-138.5647,38.495,-263.7388
E128,-131.3137,30.266,-268.4788,E144,-142.0063,27.213,-263.3133,E145,-138.5647,38.495,-263.7388
E129,-127.7678,41.515,-268.6859,E130,-124.0248,52.699,-268.4788,E146,-134.7277,50.304,-263.7389
E129,-127.7678,41.515,-268.6859,E145,-138.5647,38.495,-263.7388,E146,-134.7277,50.304,-263.7389
E130,-124.0248,52.699,-268.4788,E131,-120.0906,63.802,-267.8577,E147,-130.8804,61.454,-263.3133
E130,-124.0248,52.699,-268.4788,E146,-134.7277,50.304,-263.7389,E147,-130.8804,61.454,-263.3133
E131,-120.0906,63.802,-267.8577,E132,-115.9713,74.807,-266.8235,E148,-126.8337,72.541,-262.4713
E131,-120.0906,63.802,-267.8577,E147,-130.8804,61.454,-263.3133,E148,-126.8337,72.541,-262.4713
E132,-115.9713,74.807,-266.8235,E133,-111.6731,85.696,-265.378,E149,-122.6154,83.493,-261.2175
E132,-115.9713,74.807,-266.8235,E148,-126.8337,72.541,-262.4713,E149,-122.6154,83.493,-261.2175
E133,-111.6731,85.696,-265.378,E134,-107.2028,96.454,-263.5232,E150,-118.1604,94.452,-259.5326
E133,-111.6731,85.696,-265.378,E149,-122.6154,83.493,-261.2175,E150,-118.1604,94.452,-259.5326
E134,-107.2028,96.454,-263.5232,E135,-102.5671,107.062,-261.2621,E151,-113.5953,105.137,-257.4542
E134,-107.2028,96.454,-263.5232,E150,-118.1604,94.452,-259.5326,E151,-113.5953,105.137,-257.4542
E135,-102.5671,107.062,-261.2621,E136,-97.7733,117.506,-258.5982,E152,-108.8552,115.688,-254.9648
E135,-102.5671,107.062,-261.2621,E151,-113.5953,105.137,-257.4542,E152,-108.8552,115.688,-254.9648
E136,-97.7733,117.506,-258.5982,A121,-92.8287,127.768,-255.5355,E153,-103.9736,126.04,-252.0788
E136,-97.7733,117.506,-258.5982,E152,-108.8552,115.688,-254.9648,E153,-103.9736,126.04,-252.0788
A121,-92.8287,127.768,-255.5355,A138,-87.741,137.833,-252.0788,A137,-97.9688,134.843,-249.9196
A121,-92.8287,127.768,-255.5355,E153,-103.9736,126.04,-252.0788,A137,-97.9688,134.843,-249.9196
A138,-87.741,137.833,-252.0788,A139,-76.3875,139.277,-254.9648,A156,-82.518,147.686,-248.2334
A138,-87.741,137.833,-252.0788,A137,-97.9688,134.843,-249.9196,A155,-92.8155,144.816,-246.2801
A138,-87.741,137.833,-252.0788,A155,-92.8155,144.816,-246.2801,A156,-82.518,147.686,-248.2334
A139,-76.3875,139.277,-254.9648,A140,-64.8875,140.525,-257.4542,A157,-71.0878,149.059,-250.9348
A139,-76.3875,139.277,-254.9648,A156,-82.518,147.686,-248.2334,A157,-71.0878,149.059,-250.9348
A140,-64.8875,140.525,-257.4542,A141,-53.3154,141.565,-259.5326,A158,-59.5475,150.2,-253.2474
A140,-64.8875,140.525,-257.4542,A157,-71.0878,149.059,-250.9348,A158,-59.5475,150.2,-253.2474
A141,-53.3154,141.565,-259.5326,A142,-41.5164,142.415,-261.2175,A159,-47.7988,151.178,-255.1484
A141,-53.3154,141.565,-259.5326,A158,-59.5475,150.2,-253.2474,A159,-47.7988,151.178,-255.1484
A142,-41.5164,142.415,-261.2175,A143,-29.7967,143.043,-262.4713,A160,-35.9745,151.917,-256.6462
A142,-41.5164,142.415,-261.2175,A159,-47.7988,151.178,-255.1484,A160,-35.9745,151.917,-256.6462
A143,-29.7967,143.043,-262.4713,A144,-18.0019,143.465,-263.3133,A161,-24.2092,152.464,-257.6992
A143,-29.7967,143.043,-262.4713,A160,-35.9745,151.917,-256.6462,A161,-24.2092,152.464,-257.6992
A144,-18.0019,143.465,-263.3133,A145,-6.2083,143.679,-263.7388,A162,-12.4063,152.775,-258.3528
A144,-18.0019,143.465,-263.3133,A161,-24.2092,152.464,-257.6992,A162,-12.4063,152.775,-258.3528
A145,-6.2083,143.679,-263.7388,A146,6.2083,143.679,-263.7389,A163,0,152.905,-258.5734
A145,-6.2083,143.679,-263.7388,A162,-12.4063,152.775,-258.3528,A163,0,152.905,-258.5734
A146,6.2083,143.679,-263.7389,A147,18.0019,143.465,-263.3133,A164,12.4063,152.775,-258.3528
A146,6.2083,143.679,-263.7389,A163,0,152.905,-258.5734,A164,12.4063,152.775,-258.3528
A147,18.0019,143.465,-263.3133,A148,29.7967,143.043,-262.4713,A165,24.2092,152.464,-257.6992
A147,18.0019,143.465,-263.3133,A164,12.4063,152.775,-258.3528,A165,24.2092,152.464,-257.6992
A148,29.7967,143.043,-262.4713,A149,41.5164,142.415,-261.2175,A166,35.9745,151.917,-256.6462
A148,29.7967,143.043,-262.4713,A165,24.2092,152.464,-257.6992,A166,35.9745,151.917,-256.6462
A149,41.5164,142.415,-261.2175,A150,53.3154,141.565,-259.5326,A167,47.7988,151.178,-255.1484
A149,41.5164,142.415,-261.2175,A166,35.9745,151.917,-256.6462,A167,47.7988,151.178,-255.1484
A150,53.3154,141.565,-259.5326,A151,64.8875,140.525,-257.4542,A168,59.5475,150.2,-253.2474
A150,53.3154,141.565,-259.5326,A167,47.7988,151.178,-255.1484,A168,59.5475,150.2,-253.2474
A151,64.8875,140.525,-257.4542,A152,76.3875,139.277,-254.9648,A169,71.0878,149.059,-250.9348
A151,64.8875,140.525,-257.4542,A168,59.5475,150.2,-253.2474,A169,71.0878,149.059,-250.9348
A152,76.3875,139.277,-254.9648,A153,87.741,137.833,-252.0788,A170,82.518,147.686,-248.2334
A152,76.3875,139.277,-254.9648,A169,71.0878,149.059,-250.9348,A170,82.518,147.686,-248.2334
A153,87.741,137.833,-252.0788,B137,97.9688,134.843,-249.9196,A171,92.8155,144.816,-246.2801
A153,87.741,137.833,-252.0788,A170,82.518,147.686,-248.2334,A171,92.8155,144.816,-246.2801
B137,97.9688,134.843,-249.9196,B138,103.9736,126.04,-252.0788,B155,109.0462,133.024,-246.2801
B137,97.9688,134.843,-249.9196,A171,92.8155,144.816,-246.2801,B154,102.9916,141.756,-244.0045
B137,97.9688,134.843,-249.9196,B154,102.9916,141.756,-244.0045,B155,109.0462,133.024,-246.2801
B138,103.9736,126.04,-252.0788,B139,108.8552,115.688,-254.9648,B156,114.9581,124.117,-248.2334
B138,103.9736,126.04,-252.0788,B155,109.0462,133.024,-246.2801,B156,114.9581,124.117,-248.2334
B139,108.8552,115.688,-254.9648,B140,113.5953,105.137,-257.4542,B157,119.7956,113.67,-250.9348
B139,108.8552,115.688,-254.9648,B156,114.9581,124.117,-248.2334,B157,119.7956,113.67,-250.9348
B140,113.5953,105.137,-257.4542,B141,118.1604,94.452,-259.5326,B158,124.4475,103.048,-253.2474
B140,113.5953,105.137,-257.4542,B157,119.7956,113.67,-250.9348,B158,124.4475,103.048,-253.2474
B141,118.1604,94.452,-259.5326,B142,122.6154,83.493,-261.2175,B159,129.0081,92.176,-255.1484
B141,118.1604,94.452,-259.5326,B158,124.4475,103.048,-253.2474,B159,129.0081,92.176,-255.1484
B142,122.6154,83.493,-261.2175,B143,126.8337,72.541,-262.4713,B160,133.3648,81.159,-256.6462
B142,122.6154,83.493,-261.2175,B159,129.0081,92.176,-255.1484,B160,133.3648,81.159,-256.6462
B143,126.8337,72.541,-262.4713,B144,130.8804,61.454,-263.3133,B161,137.5207,70.139,-257.6992
B143,126.8337,72.541,-262.4713,B160,133.3648,81.159,-256.6462,B161,137.5207,70.139,-257.6992
B144,130.8804,61.454,-263.3133,B145,134.7277,50.304,-263.7388,B162,141.4635,59.009,-258.3528
B144,130.8804,61.454,-263.3133,B161,137.5207,70.139,-257.6992,B162,141.4635,59.009,-258.3528
B145,134.7277,50.304,-263.7388,B146,138.5647,38.495,-263.7389,B163,145.4213,47.251,-258.5734
B145,134.7277,50.304,-263.7388,B162,141.4635,59.009,-258.3528,B163,145.4213,47.251,-258.5734
B146,138.5647,38.495,-263.7389,B147,142.0063,27.213,-263.3133,B164,149.131,35.411,-258.3528
B146,138.5647,38.495,-263.7389,B163,145.4213,47.251,-258.5734,B164,149.131,35.411,-258.3528
B147,142.0063,27.213,-263.3133,B148,145.2491,15.865,-262.4713,B165,152.4828,24.09,-257.6992
